"","ID","T1_home_office","T3_HO1","T3_HO2","T3_HO3","T3_HO4","T3_HO5","T3_HO6","T3_HO7","T3_HO8","T3_HO9","T3_HO10","T3_HO11","T3_HO12","T3_HO13","T3_HO14","T3_HO15","T3_HO16","T3_HO17","T3_HO18","T3_HO19","T3_HO20","T3_HO21","T3_HO22","T3_HO23","T3_HO24","T3_HO25","T3_HO26","T3_HO27","T3_HO28","T3_HO29","T3_HO30","T3_HO31","T3_HO32","T4_HO1","T4_HO2","T4_HO3","T4_HO4","T4_HO5","T4_HO6","T4_HO7","T4_HO8","T4_HO9","T4_HO10","T4_HO11","T4_HO12","T4_HO13","T4_HO14","T4_HO15","T4_HO16","T4_HO17","T4_HO18","T4_HO19","T4_HO20","T4_HO21","T4_HO22","T4_HO23","T4_HO24","T4_HO25","T4_HO26","T4_HO27","T4_HO28","T4_HO29","T4_HO30","T4_HO31","T4_HO32","T6_HO1","T6_HO2","T6_HO3","T6_HO4","T6_HO5","T6_HO6","T6_HO7","T6_HO8","T6_HO9","T6_HO10","T6_HO11","T6_HO12","T6_HO13","T6_HO14","T6_HO15","T6_HO16","T6_HO17","T6_HO18","T6_HO19","T6_HO20","T6_HO21","T6_HO22","T6_HO23","T6_HO24","T6_HO25","T6_HO26","T6_HO27","T6_HO28","T6_HO29","T6_HO30","T6_HO31","T6_HO32","T7_HO4","T7_HO6","T7_HO7","T7_HO10","T7_HO11","T7_HO12","T7_HO13","T7_HO14","T7_HO15","T7_HO16","T7_HO17","T7_HO18","T7_HO19","T7_HO20","T7_HO21","T7_HO22","T7_HO23","T7_HO24","T7_HO25","T7_HO26","T7_HO27","T7_HO28","T7_HO29","T7_HO30","T7_HO31","T7_HO32","T8_HO4","T8_HO6","T8_HO7","T8_HO10","T8_HO11","T8_HO12","T8_HO13","T8_HO14","T8_HO15","T8_HO16","T8_HO17","T8_HO18","T8_HO19","T8_HO20","T8_HO21","T8_HO22","T8_HO23","T8_HO24","T8_HO25","T8_HO26","T8_HO27","T8_HO28","T8_HO29","T8_HO30","T8_HO31","T8_HO32"
"336",4372266177650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337",4372362385790,10,1,-99,2,2,10,10,10,10,10,10,3,3,1,1,2,2,4,1,"-99",2,1,1,1,5,5,4,5,5,5,4,5,5,1,-99,2,2,10,10,2,2,9,10,3,3,2,2,3,3,3,6,"UNterwegs",2,1,1,1,1,4,4,4,4,4,4,3,4,1,-99,2,2,30,30,8,8,10,10,3,3,1,1,1,1,1,1,"-99",2,1,1,1,5,5,5,5,5,5,4,5,3,2,6,1,5,3,3,1,1,1,1,4,1,"-99",3,2,1,1,1,3,3,3,3,3,3,4,4,NA,NA,-66,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",4372547307940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",4372552656360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,90,80,12,15,100,100,1,1,2,2,1,2,2,2,"-99",3,4,2,4,2,2,3,4,4,3,4,3,4,2,70,18,50,1,2,2,1,2,3,2,2,"-99",3,4,2,3,2,2,4,4,3,4,4,4,4,2,80,16,100,1,1,1,3,2,2,3,2,"-99",3,3,2,3,2,3,4,4,4,4,3,3,4
"340",4372677318940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,2,1,0,0,0,0,0,0,5,5,1,1,1,1,1,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,1,1,1,1,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,1,1,1,1,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0
"341",4374056703940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,2,1,0,0,0,0,0,0,3,3,3,3,3,3,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,15,33,3,3,3,3,3,3,3,2,"-99",3,3,3,3,3,3,3,3,3,3,3,4,4,1,0,0,0,2,3,3,3,3,3,3,1,"-99",3,3,3,3,3,3,3,3,3,3,3,3,3
"342",4374798739080,0,1,-99,2,2,0,90,30,26,79,75,2,4,1,1,5,3,4,2,"-99",3,1,1,1,4,4,3,4,3,5,4,4,5,1,-99,2,2,0,0,0,35,0,0,3,4,1,1,4,5,3,2,"-99",3,3,2,3,2,4,3,2,4,4,4,4,4,1,-99,2,2,2,99,0,30,0,100,1,5,1,1,5,3,4,2,"-99",1,1,3,2,3,4,4,5,5,5,4,4,5,2,100,33,100,3,4,1,1,4,4,2,2,"-99",5,3,2,3,5,3,3,4,3,5,4,5,5,2,100,32,100,2,4,1,1,4,4,3,2,"-99",1,1,1,3,4,4,3,4,2,4,3,4,4
"343",4374860034510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,2,2,0,100,0,30,0,80,4,4,2,2,3,3,3,2,"-99",3,3,4,3,4,2,3,4,4,4,3,4,4,1,0,0,90,3,4,2,2,3,4,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,8,60,3,5,2,2,3,3,4,2,"-99",2,3,3,3,4,3,4,3,4,4,4,4,4
"344",4374862137940,0,1,-99,2,1,0,0,0,0,0,0,4,3,1,1,1,1,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,2,1,0,0,0,0,0,0,5,5,1,1,1,1,2,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,2,1,0,0,0,0,0,0,5,5,1,1,1,4,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4,1,1,1,1,3,1,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",4374868511650,0,1,-99,1,1,0,0,0,0,0,0,5,5,5,5,5,5,5,6,"entfällt",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,1,1,0,0,0,0,5,5,5,5,1,1,1,1,4,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,1,1,0,0,0,0,0,0,4,4,2,2,2,2,2,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3,3,3,3,3,3,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,2,2,2,2,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0
"346",4375016449370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,1,1,2,2,1,1,3,3,2,2,2,2,2,2,2,3,"-99",3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,2,3,3,4,4,4,4,4,1,"-99",3,3,4,4,4,4,4,3,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
