"","ID","T1_home_office","T3_HO1","T3_HO2","T3_HO3","T3_HO4","T3_HO5","T3_HO6","T3_HO7","T3_HO8","T3_HO9","T3_HO10","T3_HO11","T3_HO12","T3_HO13","T3_HO14","T3_HO15","T3_HO16","T3_HO17","T3_HO18","T3_HO19","T3_HO20","T3_HO21","T3_HO22","T3_HO23","T3_HO24","T3_HO25","T3_HO26","T3_HO27","T3_HO28","T3_HO29","T3_HO30","T3_HO31","T3_HO32","T4_HO1","T4_HO2","T4_HO3","T4_HO4","T4_HO5","T4_HO6","T4_HO7","T4_HO8","T4_HO9","T4_HO10","T4_HO11","T4_HO12","T4_HO13","T4_HO14","T4_HO15","T4_HO16","T4_HO17","T4_HO18","T4_HO19","T4_HO20","T4_HO21","T4_HO22","T4_HO23","T4_HO24","T4_HO25","T4_HO26","T4_HO27","T4_HO28","T4_HO29","T4_HO30","T4_HO31","T4_HO32","T6_HO1","T6_HO2","T6_HO3","T6_HO4","T6_HO5","T6_HO6","T6_HO7","T6_HO8","T6_HO9","T6_HO10","T6_HO11","T6_HO12","T6_HO13","T6_HO14","T6_HO15","T6_HO16","T6_HO17","T6_HO18","T6_HO19","T6_HO20","T6_HO21","T6_HO22","T6_HO23","T6_HO24","T6_HO25","T6_HO26","T6_HO27","T6_HO28","T6_HO29","T6_HO30","T6_HO31","T6_HO32","T7_HO4","T7_HO6","T7_HO7","T7_HO10","T7_HO11","T7_HO12","T7_HO13","T7_HO14","T7_HO15","T7_HO16","T7_HO17","T7_HO18","T7_HO19","T7_HO20","T7_HO21","T7_HO22","T7_HO23","T7_HO24","T7_HO25","T7_HO26","T7_HO27","T7_HO28","T7_HO29","T7_HO30","T7_HO31","T7_HO32","T8_HO4","T8_HO6","T8_HO7","T8_HO10","T8_HO11","T8_HO12","T8_HO13","T8_HO14","T8_HO15","T8_HO16","T8_HO17","T8_HO18","T8_HO19","T8_HO20","T8_HO21","T8_HO22","T8_HO23","T8_HO24","T8_HO25","T8_HO26","T8_HO27","T8_HO28","T8_HO29","T8_HO30","T8_HO31","T8_HO32","T9_HO4","T9_HO6","T9_HO7","T9_HO10","T9_HO11","T9_HO12","T9_HO13","T9_HO14","T9_HO15","T9_HO16","T9_HO17","T9_HO18","T9_HO19","T9_HO20","T9_HO21","T9_HO22","T9_HO23","T9_HO24","T9_HO25","T9_HO26","T9_HO27","T9_HO28","T9_HO29","T9_HO30","T9_HO31","T9_HO32","T3_covid11","T4_covid11","T6_covid11","T7_covid11","T8_covid11","T9_covid11"
"1",4238665626790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,1,2,68,74,2,3,66,78,4,5,3,4,4,2,4,2,"-99",5,4,5,4,3,4,4,3,2,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"2",4238694112940,0,1,-99,1,1,0,0,0,0,0,0,5,5,5,5,5,5,5,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,1,1,0,0,0,0,0,0,4,5,1,1,1,1,4,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4,4,1,3,4,4,2,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,1,1,4,4,4,0,"-99",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,NA,0,0
"3",4238984787940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,2,2,0,0,0,0,0,0,5,4,3,3,4,4,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,4,4,4,3,4,2,"-99",3,3,4,3,3,4,2,4,3,3,3,4,4,2,20,8,50,3,4,3,2,3,2,3,2,"-99",3,3,4,4,4,5,3,4,4,3,4,3,3,1,0,0,0,3,2,3,2,3,3,3,1,"-99",2,3,3,2,3,3,2,3,2,3,2,0,3,NA,NA,0,0,0,5
"4",4239002767510,0,1,-99,2,2,0,99,0,42,0,91,3,2,3,4,3,3,3,6,"küche",3,3,2,3,4,3,3,3,2,4,3,5,5,1,-99,2,2,0,99,0,40,0,89,4,2,3,3,2,3,4,0,"-99",4,3,2,2,3,4,4,3,3,2,3,5,5,1,-99,2,2,0,100,0,40,0,73,4,4,1,2,3,2,2,6,"küche",4,2,2,2,4,4,4,4,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"5",4239280800790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,25,50,3,3,3,3,3,3,3,2,"-99",3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,6
"6",4239316717650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",4239370603510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,5,1,1,1,3,4,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0
"8",4239503806650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4239521807360,60,2,1,2,2,20,80,10,20,20,80,5,5,1,1,3,3,1,2,"-99",1,4,3,5,3,2,2,2,2,4,3,3,3,2,5,2,2,50,100,17,38,50,100,5,3,1,1,3,3,4,1,"-99",2,3,2,3,4,4,3,4,2,4,3,3,4,2,5,2,2,30,85,8,30,30,85,4,4,1,1,3,3,4,1,"-99",3,3,2,2,4,4,4,4,3,4,4,4,4,2,75,20,75,4,4,1,2,4,4,4,1,"-99",4,3,3,3,4,4,4,4,4,4,4,5,4,2,50,40,50,4,4,1,1,2,2,3,1,"-99",4,3,3,3,3,3,3,4,2,4,3,4,5,2,50,20,50,3,4,1,1,3,3,4,1,"-99",2,3,2,3,4,4,3,4,3,4,4,4,5,0,0,0,6,6,6
"10",4239596864930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",4239634842940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,2,2,0,50,0,20,0,50,5,5,1,1,3,1,3,2,"-99",5,3,1,1,3,1,1,3,5,5,3,4,5,2,42,16,31,5,5,1,1,1,1,3,2,"-99",5,5,5,5,1,1,1,1,1,1,1,3,5,2,33,15,50,3,5,1,1,1,1,3,2,"-99",5,5,5,3,3,1,1,1,1,1,1,3,5,2,46,20,50,3,5,1,1,1,2,3,2,"-99",5,3,2,2,3,1,3,3,3,3,3,3,5,NA,NA,0,0,0,0
"12",4239828316220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,100,100,45,45,20,75,2,4,2,2,2,2,3,1,"-99",3,1,1,3,5,5,5,5,5,5,3,5,5,2,100,45,100,2,4,2,1,3,3,2,1,"-99",3,1,1,1,5,5,5,5,5,5,5,5,5,2,100,45,100,3,4,2,1,3,3,3,1,"-99",3,1,1,2,4,4,4,4,4,4,2,5,5,2,100,40,100,2,2,3,1,3,3,2,1,"-99",3,1,1,1,5,4,4,4,4,4,4,5,5,NA,NA,0,6,0,0
"13",4239869539220,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",4239916057790,0,1,-99,2,1,0,0,0,0,1,0,5,5,1,1,1,1,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,2,1,0,0,0,0,0,0,4,4,1,1,3,2,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-66,NA,NA,NA,NA,-66,-66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,6,100,3,4,1,1,3,2,3,2,"-99",3,3,3,2,2,2,2,3,2,2,2,3,3,2,10,4,100,4,4,1,1,2,2,3,2,"-99",2,3,3,3,3,2,3,3,3,4,3,4,4,2,5,8,100,4,4,1,1,1,1,1,2,"-99",3,4,4,3,2,2,3,3,3,3,2,4,4,0,6,NA,0,6,0
"15",4240021694370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4240045032930,0,1,-99,1,1,0,0,0,0,0,0,2,2,1,3,1,2,2,0,"-99",1,1,1,1,1,1,1,1,1,1,1,3,3,1,-99,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,3,"-99",2,2,1,1,1,1,1,2,1,1,1,1,1,1,-99,1,1,0,0,0,0,10,10,3,3,3,4,3,3,3,3,"-99",1,1,1,1,1,1,1,1,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,1,3,"-99",1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,7,NA,NA,7
"17",4240318743080,2,1,-99,2,1,0,0,0,0,4,0,2,5,1,1,1,1,1,2,"-99",1,1,1,1,1,1,1,1,1,1,1,1,1,1,-99,2,1,0,0,0,0,0,0,3,5,2,2,1,2,2,2,"-99",4,5,5,5,1,1,1,1,1,1,1,1,1,1,-99,2,1,0,0,0,0,0,0,3,3,1,1,1,1,1,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,6,"Hab ich doch nicht",1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,0,0,2,5,1,1,1,1,1,6,"Hab ich nicht",5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,3,4,2,3,4,3,3,6,"Kein SOHO",5,5,1,4,1,1,1,1,1,1,1,3,4,5,5,5,6,7,7
"18",4240585064800,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",4240599915650,80,1,-99,1,1,70,70,2,2,67,68,3,3,3,3,3,3,3,1,"-99",3,3,3,3,3,3,3,3,3,3,3,4,4,1,-99,1,1,69,67,5,3,48,49,4,4,4,4,4,4,4,2,"-99",4,4,4,4,4,4,4,4,4,4,4,4,4,1,-99,1,1,62,58,40,40,68,69,3,3,3,3,3,3,3,2,"-99",3,3,3,3,3,3,3,3,3,3,3,4,3,1,68,8,79,3,3,3,3,3,3,3,2,"-99",3,3,3,3,3,3,3,3,3,3,3,4,3,2,60,40,70,3,3,3,3,3,3,3,2,"-99",3,3,3,3,3,3,3,3,3,3,3,4,4,2,74,40,75,3,3,3,3,3,3,3,2,"-99",3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,7,2,2,2
"20",4240693978080,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",4240815490800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",4240878942510,0,1,-99,1,1,0,0,0,0,0,0,3,2,2,2,3,3,2,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,2,1,0,0,0,0,0,0,3,5,1,1,1,1,4,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,1,1,0,0,0,0,0,0,5,5,1,1,1,1,4,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,1,1,1,1,4,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,1,1,1,1,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,1,1,1,1,4,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,0
"23",4240963523650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,-66,-66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",4241870419080,0,1,-99,1,1,5,6,1,1,0,8,3,3,3,3,3,3,3,3,"-99",3,3,3,3,3,3,4,3,3,3,3,3,3,1,-99,1,1,0,0,0,0,0,0,4,4,2,2,3,3,3,6,"-99",1,1,1,1,1,1,1,1,1,1,1,3,3,1,-99,1,1,0,87,0,0,0,0,2,3,2,2,2,3,3,0,"-99",1,2,2,2,2,2,2,2,3,3,3,3,3,1,4,0,9,3,3,2,2,2,2,2,0,"-99",3,2,2,2,3,3,3,4,3,4,3,4,1,1,0,47,0,3,3,2,2,2,2,3,6,"Keine",2,2,2,2,2,2,3,3,3,3,3,3,3,1,0,0,0,3,3,2,2,2,2,4,0,"-99",1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,6,0,0
"25",4241875725220,20,2,6,2,2,31,99,10,40,10,99,3,2,3,1,5,5,2,2,"-99",3,3,1,1,4,4,4,4,4,4,4,4,5,2,4,2,2,20,100,8,35,20,100,2,2,2,2,5,5,4,2,"-99",3,3,2,2,4,3,3,4,4,4,4,3,4,2,8,2,2,20,100,5,40,20,100,2,2,3,2,4,4,5,2,"-99",3,4,2,2,4,4,4,4,4,4,4,4,5,2,94,32,93,3,2,3,4,5,4,5,2,"-99",4,4,2,3,4,4,4,4,4,4,4,4,5,2,92,35,91,3,3,3,1,4,4,4,2,"-99",4,3,2,2,4,3,3,5,4,4,3,4,5,2,90,33,99,3,3,3,2,4,4,4,2,"-99",3,4,2,3,4,4,3,3,3,0,0,4,5,6,6,6,6,6,6
"26",4242030036650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,2,2,61,41,8,20,44,25,4,3,4,4,2,3,4,2,"-99",4,2,2,3,5,5,4,2,3,3,4,4,3,2,68,10,61,4,3,5,5,4,5,3,1,"-99",4,2,3,4,5,4,3,3,4,4,4,4,4,1,78,0,0,4,4,5,3,3,4,5,2,"-99",4,3,3,5,4,4,5,3,3,4,4,4,3,2,55,10,26,4,4,3,5,5,4,5,2,"-99",4,3,3,5,4,3,3,4,5,3,3,4,3,NA,NA,3,3,3,6
