"","ID","T1_home_office","T3_HO1","T3_HO2","T3_HO3","T3_HO4","T3_HO5","T3_HO6","T3_HO7","T3_HO8","T3_HO9","T3_HO10","T3_HO11","T3_HO12","T3_HO13","T3_HO14","T3_HO15","T3_HO16","T3_HO17","T3_HO18","T3_HO19","T3_HO20","T3_HO21","T3_HO22","T3_HO23","T3_HO24","T3_HO25","T3_HO26","T3_HO27","T3_HO28","T3_HO29","T3_HO30","T3_HO31","T3_HO32","T4_HO1","T4_HO2","T4_HO3","T4_HO4","T4_HO5","T4_HO6","T4_HO7","T4_HO8","T4_HO9","T4_HO10","T4_HO11","T4_HO12","T4_HO13","T4_HO14","T4_HO15","T4_HO16","T4_HO17","T4_HO18","T4_HO19","T4_HO20","T4_HO21","T4_HO22","T4_HO23","T4_HO24","T4_HO25","T4_HO26","T4_HO27","T4_HO28","T4_HO29","T4_HO30","T4_HO31","T4_HO32","T6_HO1","T6_HO2","T6_HO3","T6_HO4","T6_HO5","T6_HO6","T6_HO7","T6_HO8","T6_HO9","T6_HO10","T6_HO11","T6_HO12","T6_HO13","T6_HO14","T6_HO15","T6_HO16","T6_HO17","T6_HO18","T6_HO19","T6_HO20","T6_HO21","T6_HO22","T6_HO23","T6_HO24","T6_HO25","T6_HO26","T6_HO27","T6_HO28","T6_HO29","T6_HO30","T6_HO31","T6_HO32","T7_HO4","T7_HO6","T7_HO7","T7_HO10","T7_HO11","T7_HO12","T7_HO13","T7_HO14","T7_HO15","T7_HO16","T7_HO17","T7_HO18","T7_HO19","T7_HO20","T7_HO21","T7_HO22","T7_HO23","T7_HO24","T7_HO25","T7_HO26","T7_HO27","T7_HO28","T7_HO29","T7_HO30","T7_HO31","T7_HO32","T8_HO4","T8_HO6","T8_HO7","T8_HO10","T8_HO11","T8_HO12","T8_HO13","T8_HO14","T8_HO15","T8_HO16","T8_HO17","T8_HO18","T8_HO19","T8_HO20","T8_HO21","T8_HO22","T8_HO23","T8_HO24","T8_HO25","T8_HO26","T8_HO27","T8_HO28","T8_HO29","T8_HO30","T8_HO31","T8_HO32","T9_HO4","T9_HO6","T9_HO7","T9_HO10","T9_HO11","T9_HO12","T9_HO13","T9_HO14","T9_HO15","T9_HO16","T9_HO17","T9_HO18","T9_HO19","T9_HO20","T9_HO21","T9_HO22","T9_HO23","T9_HO24","T9_HO25","T9_HO26","T9_HO27","T9_HO28","T9_HO29","T9_HO30","T9_HO31","T9_HO32","T3_covid11","T4_covid11","T6_covid11","T7_covid11","T8_covid11","T9_covid11"
"1245",4684082224080,0,1,-99,2,1,0,0,0,0,1,0,3,5,1,1,1,1,1,6,"KEIN HOMEOFFICE",1,1,1,1,1,1,1,1,1,1,1,3,3,1,-99,2,1,0,0,0,0,0,0,5,5,1,1,1,1,1,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99,2,1,0,0,0,0,0,0,5,5,1,1,3,3,1,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,3,2,2,2,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-66,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"1246",4684291510080,20,2,12,2,2,40,40,15,15,20,20,5,5,1,1,2,2,4,2,"-99",5,3,2,3,4,4,4,4,3,4,2,4,4,2,38,2,2,30,50,12,20,30,70,4,4,1,1,4,4,3,3,"-99",3,1,1,2,4,4,4,4,3,4,2,3,4,2,38,2,2,35,50,10,20,20,20,4,4,1,1,3,2,4,2,"-99",3,2,2,2,4,4,4,4,3,4,4,4,4,2,21,10,10,4,4,1,1,3,2,4,2,"-99",3,1,1,2,4,4,3,4,3,5,3,4,4,2,10,4,20,4,4,1,1,3,3,4,2,"-99",4,2,1,2,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
"1247",4684352805510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,1,1,0,0,0,0,0,0,5,5,1,1,1,1,2,6,"nix",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,3,3,1,1,1,1,1,0,"-99",1,1,1,1,1,1,1,1,1,1,1,3,3,1,0,0,0,3,3,1,1,1,1,1,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0
"1248",4684627657220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1249",4684701615510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,2,2,40,41,40,40,70,71,4,3,3,4,4,3,3,1,"-99",3,2,3,3,3,4,4,4,3,3,2,4,3,2,40,20,100,2,2,3,3,4,3,3,1,"-99",3,3,3,4,4,4,3,3,2,2,3,4,4,1,52,10,43,3,3,4,4,3,2,3,2,"-99",2,2,3,3,3,4,4,4,3,2,2,3,4,2,38,20,30,4,4,3,3,2,2,3,2,"-99",3,3,3,4,4,4,3,3,3,2,3,3,4,NA,NA,4,6,5,2
"1250",4684705843510,0,2,3,2,2,30,90,8,32,30,90,5,4,1,1,4,4,3,1,"-99",1,2,2,2,2,4,4,4,4,4,4,5,5,2,5,2,2,10,90,5,32,30,90,5,4,2,2,4,4,4,1,"-99",0,3,2,2,2,4,4,4,4,4,4,4,5,2,3,2,2,20,80,8,32,20,90,4,4,1,2,4,4,4,1,"-99",4,2,2,1,2,4,4,4,4,4,5,4,5,2,80,32,90,5,5,2,2,4,5,5,1,"-99",2,1,1,1,1,4,4,4,4,4,5,5,5,2,80,32,90,5,5,1,2,5,4,4,1,"-99",2,1,1,1,1,2,2,2,1,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
"1251",4684737606360,4,1,-99,2,1,0,0,0,0,0,0,3,4,1,2,2,2,4,1,"-99",3,2,2,2,4,4,3,4,3,4,3,5,3,1,-99,2,2,1,4,0,1,10,20,4,4,1,1,1,1,4,1,"-99",3,3,3,3,3,3,3,3,3,3,3,4,3,1,-99,1,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,"-99",3,3,3,3,3,3,3,2,2,2,2,3,3,1,0,0,0,3,3,3,3,3,3,3,1,"-99",3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,10,3,3,3,3,3,3,3,1,"-99",2,2,2,2,2,2,2,2,2,2,2,3,3,1,0,0,0,3,3,1,1,3,3,3,0,"-99",1,1,1,1,1,1,1,1,1,1,1,3,3,4,0,7,0,7,7
"1252",4684979585370,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,2,1,0,0,0,0,0,0,4,4,1,1,2,3,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,4,5,1,1,1,1,3,0,"-99",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"1253",4685352759220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,2,1,2,2,0,0,2,2,4,4,1,1,3,3,5,3,"-99",4,4,4,4,4,4,4,4,4,4,4,5,3,1,2,0,1,5,1,1,1,1,1,1,3,"-99",1,1,1,1,1,1,1,1,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,3,3,1,1,2,3,4,3,"-99",1,1,1,1,1,3,3,3,3,3,3,3,3,NA,NA,6,6,NA,6
"1254",4685370675370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,1,1,2,2,0,0,2,2,3,4,1,1,1,1,1,2,"-99",1,1,1,1,1,1,1,1,1,1,1,5,5,1,3,0,2,5,2,1,1,1,1,4,6,"im büro",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,1,1,1,4,0,"-99",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,2,3,4,1,1,1,1,1,0,"-99",1,1,1,1,1,1,1,1,1,1,1,0,0,NA,NA,4,3,4,7
